date,statarb
2023-05-03,1.846634539
2023-05-04,1.851789937
2023-05-05,1.861233406
2023-05-06,1.873494244
2023-05-07,1.883503664
2023-05-08,1.905075345
2023-05-09,1.872996414
2023-05-10,1.878043735
2023-05-11,1.915832581
2023-05-12,1.894581844
2023-05-13,1.860134796
2023-05-14,1.872026965
2023-05-15,1.872735374
2023-05-16,1.879088355
2023-05-17,1.869746903
2023-05-18,1.868297846
2023-05-19,1.863588839
2023-05-20,1.877488084
2023-05-21,1.875051514
2023-05-22,1.874505656
2023-05-23,1.906461689
2023-05-24,1.934846536
2023-05-25,1.872796886
2023-05-26,1.884527284
2023-05-27,1.861714067
2023-05-28,1.914730374
2023-05-29,1.941351445
2023-05-30,1.958484792
2023-05-31,1.94114698
2023-06-01,1.944834988
2023-06-02,1.937838822
2023-06-03,1.94349928
2023-06-04,1.954798556
2023-06-05,1.965547223
2023-06-06,1.947967596
2023-06-07,1.937354535
2023-06-08,1.921933383
2023-06-09,1.927287528
2023-06-10,1.970338845
2023-06-11,1.933598398
2023-06-12,1.944395917
2023-06-13,1.96434326
2023-06-14,2.018873806
2023-06-15,2.047471235
2023-06-16,2.022017121
2023-06-17,1.97369767
2023-06-18,1.952113202
2023-06-19,1.960476351
2023-06-20,1.966451644
2023-06-21,2.039089391
2023-06-22,2.076096995
2023-06-23,2.046950034
2023-06-24,2.052163026
2023-06-25,2.041720619
2023-06-26,2.036102776
2023-06-27,2.03453468
2023-06-28,2.039632015
2023-06-29,2.059651848
2023-06-30,2.090227952
2023-07-01,2.099142712
2023-07-02,2.042572088
2023-07-03,2.040581744
2023-07-04,2.046791304
2023-07-05,2.083934728
2023-07-06,2.113405242
2023-07-07,2.132715958
2023-07-08,2.165828049
2023-07-09,2.161101143
2023-07-10,2.155516628
2023-07-11,2.179538374
2023-07-12,2.15628827
2023-07-13,2.142796853
2023-07-14,2.251795846
2023-07-15,2.298524186
2023-07-16,2.256844385
2023-07-17,2.266637898
2023-07-18,2.253273742
2023-07-19,2.238754957
2023-07-20,2.261072152
2023-07-21,2.270333996
2023-07-22,2.260479598
2023-07-23,2.277727274
2023-07-24,2.267919955
2023-07-25,2.239030052
2023-07-26,2.257001528
2023-07-27,2.300516915
2023-07-28,2.320894631
2023-07-29,2.331118033
2023-07-30,2.332374165
2023-07-31,2.357356705
2023-08-01,2.300913684
2023-08-02,2.302725722
2023-08-03,2.292308449
2023-08-04,2.290264801
2023-08-05,2.275018472
2023-08-06,2.276402343
2023-08-07,2.254484485
2023-08-08,2.278384167
2023-08-09,2.27474227
2023-08-10,2.264197903
2023-08-11,2.254552442
2023-08-12,2.258103196
2023-08-13,2.254584682
2023-08-14,2.26719618
2023-08-15,2.260014922
